Length,Average Number of Sentences,Complex Sentence
18,1.6,"Bad Herrenalb is a municipality in the district of Calw, in Baden-Württemberg, Germany."
14,1.2,Religion The religion of Teotihuacan is similar to those of other Mesoamerican cultures.
16,1.3,"The main techniques concerned are woodcut, engraving and etching, although there are others."
28,1.5,"When he learned to speak Russian, he studied computer translation of human languages at Moscow State University in the Soviet Union in the school of Kolmogorov."
24,1.5,The low was located in an area favorable for development and a tropical cyclone formation alert was issued shortly after the low formed.
10,1.0,The card for the event featured two main events.
25,1.3,"Geography The district was located on the banks of the Freiberger Mulde in the triangle between the cities of Dresden, Leipzig and Chemnitz."
21,1.6,"The Métis today predominantly speak English, with French a strong second language, as well as numerous Aboriginal tongues."
27,1.6,The fort held a prominent position and was located high above sea level with strategic views to the entrance (Sydney Heads) of Port Jackson.
17,1.0,"The film employs make-up, puppetry, and CGI effects to create its creatures."
17,1.0,"However, some performances connected to the festival take place before and after the official dates."
35,1.2,The city is what later evolved to be the center of the Byzantine Empire (the Greek-speaking Roman Empire of late Antiquity and the Middle Ages) under the name of Constantinople.
41,1.7,"For example, a shop might give away its stock in its promotion, but producing these goods would still have required the use of scarce resources, so this would not be a free good in an economic sense."
27,1.4,"Analog is usually thought of in an electrical context; however, mechanical, pneumatic, hydraulic, and other systems may also convey analog signals."
14,1.3,"Her mother wanted her to leave school and marry, but she rebelled."
17,1.0,Barr attained national prominence as one of the leaders of the impeachment of President Bill Clinton.
28,1.5,"The direct evidence suggests there was a migration of H. erectus out of Africa, then a further speciation of H. sapiens from H. erectus in Africa."
27,1.1,"During the 1980s and 1990s, the university devoted substantial resources to renovating its massive hospital complex and improving the academic facilities on the North Campus."
25,1.7,"Israel, though subjected to attack by Iraqi missiles, refrained from retaliating in order not to provoke Arab states into leaving the coalition."
14,1.0,Background Chuck Norris Facts originally started appearing on the Internet in early 2005.
22,1.6,"It is a concentration of science and technology related businesses, and has strong links with the nearby University of Cambridge."
15,1.0,SNL is one of the longest-running network programs in American television history.
32,1.4,"The story began as a sequel to Tolkien's earlier, less complex children's fantasy novel The Hobbit (1937), but eventually developed into a much larger work."
20,1.3,"He also had his own carriage, with fine livery, which took him to concerts at other venues."
28,1.3,"R. M. Urquhart, Scottish Civic Heraldry, London, 1979 On the abolition of the district council in 1996, the arms reverted to the Crown."
18,1.1,"He was the son of the Reverend Martin Luther King, Sr. and Alberta Williams King."
16,1.1,The following is a comparative table classifying the moons of the solar system by diameter.
20,1.5,"Chocolate was available to Maya of all social classes, although the wealthy drank chocolate from elaborately decorated vessels."
33,1.8,"A cafe and some other businesses largely occupy the location of the fort, and the rue Saint Antoine passes directly over it as it opens onto the roundabout of the Bastille."
28,1.5,"The following season, Warner was replaced as the Rams' starting quarterback for good after fumbling six times in the opener against the New York Giants."
23,1.0,"As long as the platform mechanic remains a prominent part of the gameplay, it may still correctly be termed a platformer."
17,1.4,Fellow automotive customizer Darryl Starbird purchased the vehicle from Roth in 1967 for US $750.00.
25,1.1,"This fact suggests that the Yankees are a superlative baseball franchise, rather than simply the US baseball team that has won most often."
10,1.0,"Afterwards, doctors performed various medical treatments if necessary."
11,1.3,Attahaddy Benghazi is an Libyan football club based in Benghazi.
18,1.2,Ender's Shadow (1999) is a science fiction novel by American author Orson Scott Card.
23,1.4,Iero uses the project as a way to vent about the way he sees the worldArtist Info - LeATHERMOUTH Epitaph. com.
16,1.3,Much of the pioneering work was done at Bell Laboratories and commercialized by Western Electric.
12,1.1,"Thus, the Erzgebirge region became famous for many Christmas traditions."
29,1.3,"When the Reichstag convened in September 1932, its first and only act was to pass a massive vote of no-confidence in Papen ’ s government."
33,1.9,1700 to 1900 By the early seventeenth century small scale brick and tile manufacture was flourishing and during this time parcels of common land were allocated for house building and small businesses.
34,1.7,"Initially used in professional sports, the term is now also commonly used in amateur sports, as well as in other completely unrelated fields of endeavor such as business and music awards."
19,1.5,"Diatomic molecules are molecules composed only of two atoms, of either the same or different chemical elements."
32,1.4,"Ritchie Neville (born Richard Neville Dobson, 23 August 1979, Solihull, England) is an English singer most noted for being a member of UK boy band Five."
12,1.1,He rowed across in a boat and discovered the Japanese submarine.
26,1.6,"Education The Cabarrus County School System services all of the county with the exception of parts of Kannapolis, which operates its own school district."
10,1.2,"Months pass, and Tod and Copper reach adulthood."
15,1.1,A workstation is a high-end microcomputer designed for technical or scientific applications.
10,1.1,The larger islands have some fertile valleys and plains.
17,1.0,It is most commonly found growing on bread and soft fruits such as bananas and grapes.
54,1.8,"The BCG matrix (aka B. C. G. analysis, BCG-matrix, Boston Box, Boston Matrix, Boston Consulting Group analysis) is a chart that had been created by Bruce Henderson for the Boston Consulting Group in 1970 to help corporations with analyzing their business units or product lines."
25,1.5,"The images relayed back to Earth from Voyager 2 became the basis of a 1989 PBS all-night program, Neptune All Night."
15,1.0,The town is one end point of the Murray to the Mountains Rail Trail.
19,1.4,"In the top right field is the symbol of the Lords of Sonneberg, which includes sheep shears."
13,1.2,This coincides well with the Nara period (710 - 794).
44,2.2,"Helene was a long-lived Cape Verde-type hurricane that formed in the extreme southeastern part of the North Atlantic Ocean, peaking as a Category 3 hurricane on the Saffir-Simpson hurricane scale as it traversed the central Atlantic."
28,1.6,Carolus Linnaeus and other scientists of his time also considered the great apes to be the closest relatives of human beings due to morphological and anatomical similarities.
33,2.2,"The archetypal pencil may have been the stylus, which was a thin metal stick, often made from lead and used for scratching in papyrus, a form of early paper."
16,1.1,"Religion Despite the name of the band, the members do not consider themselves antitheist."
17,1.5,"About 2,000 troops have been allocated to Zipingpu, trying to release the pressure through spillway."
24,1.5,"In 2005 Ewen joined the R & B group Trinity Stone which achieved limited success in the UK, Ireland, and Russia."
17,1.1,The Aten is typically shown as a sun disk with rays coming out of all sides.
